,main_category,usd_pledged_real,name
0,Art,1924018.0,Sisyphus – The Kinetic Art Table
1,Comics,1254120.08,The Order of the Stick Reprint Drive
2,Crafts,454717.53,"""This is Fine"" Plush Dog."
3,Dance,146075.97,Where the Heck is Matt?
4,Design,20338986.27,"Pebble Time - Awesome Smartwatch, No Compromises"
5,Fashion,1851033.0,ADV3NTURE HOODIE with 23 Pockets and Features!
6,Film & Video,5764229.38,Bring Back MYSTERY SCIENCE THEATER 3000
7,Food,1927217.0,Pico C - Craft Brewing For All
8,Games,12393139.69,Kingdom Death: Monster 1.5
9,Journalism,215487.75,REPORTER - Ein anderer Journalismus ist möglich
10,Music,1363037.0,Voyager Golden Record: 40th Anniversary Edition
11,Photography,793266.77,Bring back the Fabulous Wonder Bokeh Lens: Primoplan 58 f1.9
12,Publishing,866193.5,Kickstarter Gold: Good Night Stories for Rebel Girls 2
13,Technology,6225354.98,Pono Music - Where Your Soul Rediscovers Music
14,Theater,358548.01,The Opera di Firenze presents: Opera for Everybody
